time,co2
2022-09-21T00:01:11,585
2022-09-21T00:06:36,561
2022-09-21T00:12:01,579
2022-09-21T00:17:25,597
2022-09-21T00:22:50,583
2022-09-21T00:28:14,599
2022-09-21T00:33:39,581
2022-09-21T00:39:03,596
2022-09-21T00:44:28,602
2022-09-21T00:49:52,607
2022-09-21T00:55:17,602
2022-09-21T01:00:41,611
2022-09-21T01:06:06,614
2022-09-21T01:11:31,603
2022-09-21T01:16:55,612
2022-09-21T01:22:19,608
2022-09-21T01:27:44,593
2022-09-21T01:33:08,545
2022-09-21T01:38:33,524
2022-09-21T01:43:57,495
2022-09-21T01:49:21,543
2022-09-21T01:54:45,544
2022-09-21T02:00:09,538
2022-09-21T02:05:34,534
2022-09-21T02:10:58,537
2022-09-21T02:16:22,542
2022-09-21T02:21:46,514
2022-09-21T02:27:11,570
2022-09-21T02:32:35,555
2022-09-21T02:37:59,613
2022-09-21T02:43:23,612
2022-09-21T02:48:47,627
2022-09-21T02:54:11,632
2022-09-21T02:59:36,632
2022-09-21T03:05:00,628
2022-09-21T03:10:24,625
2022-09-21T03:15:48,628
2022-09-21T03:21:12,591
2022-09-21T03:26:36,622
2022-09-21T03:32:00,617
2022-09-21T03:37:24,624
2022-09-21T03:42:48,670
2022-09-21T03:48:12,655
2022-09-21T03:53:36,646
2022-09-21T03:59:00,657
2022-09-21T04:04:24,651
2022-09-21T04:09:48,651
2022-09-21T04:15:12,652
2022-09-21T04:20:36,649
2022-09-21T04:26:00,639
2022-09-21T04:31:24,632
2022-09-21T04:36:49,634
2022-09-21T04:42:13,637
2022-09-21T04:47:37,629
2022-09-21T04:53:01,616
2022-09-21T04:58:25,627
2022-09-21T05:03:49,764
2022-09-21T05:09:14,738
2022-09-21T05:14:38,697
2022-09-21T05:20:02,699
2022-09-21T05:25:26,741
2022-09-21T05:30:50,765
2022-09-21T05:36:15,756
2022-09-21T05:41:39,770
2022-09-21T05:47:03,774
2022-09-21T05:52:28,771
2022-09-21T06:49:14,484
2022-09-21T06:54:38,539
2022-09-21T07:00:03,540
2022-09-21T07:05:26,537
2022-09-21T07:10:51,530
2022-09-21T07:16:15,534
2022-09-21T07:21:39,542
2022-09-21T07:26:58,551
2022-09-21T07:28:50,474
2022-09-21T07:31:09,544
2022-09-21T08:18:47,634
2022-09-21T08:20:51,633
2022-09-21T08:22:55,631
2022-09-21T08:24:59,638
2022-09-21T08:27:03,662
2022-09-21T08:29:07,666
2022-09-21T08:31:11,679
2022-09-21T08:33:15,671
2022-09-21T08:35:19,668
2022-09-21T08:37:23,675
2022-09-21T08:39:27,671
2022-09-21T08:41:31,672
2022-09-21T08:43:35,675
2022-09-21T08:45:39,670
2022-09-21T08:47:43,667
2022-09-21T08:49:47,679
2022-09-21T08:51:50,687
2022-09-21T08:53:54,694
2022-09-21T08:55:58,712
2022-09-21T08:58:02,740
2022-09-21T09:00:06,701
2022-09-21T09:02:10,699
2022-09-21T09:04:14,710
2022-09-21T09:06:18,721
2022-09-21T09:08:22,727
2022-09-21T09:10:26,681
2022-09-21T09:12:30,673
2022-09-21T09:14:34,674
2022-09-21T09:16:38,667
2022-09-21T09:18:42,675
2022-09-21T09:20:46,672
2022-09-21T09:22:51,673
2022-09-21T09:24:55,681
2022-09-21T09:26:59,685
2022-09-21T09:29:03,672
2022-09-21T09:31:07,680
2022-09-21T09:33:11,682
2022-09-21T09:35:15,703
2022-09-21T09:37:19,697
2022-09-21T09:39:23,699
2022-09-21T09:41:27,721
2022-09-21T09:43:31,698
2022-09-21T09:45:35,714
2022-09-21T09:47:39,716
2022-09-21T09:49:43,701
2022-09-21T09:51:47,697
2022-09-21T09:53:51,711
2022-09-21T09:55:56,713
2022-09-21T09:58:00,708
2022-09-21T10:00:04,715
2022-09-21T10:02:08,706
2022-09-21T10:04:12,712
2022-09-21T10:06:16,715
2022-09-21T10:08:19,711
2022-09-21T10:10:24,705
2022-09-21T10:12:27,762
2022-09-21T10:14:31,757
2022-09-21T10:16:35,756
2022-09-21T10:18:39,753
2022-09-21T10:20:43,761
2022-09-21T10:22:47,756
2022-09-21T10:24:51,761
2022-09-21T10:26:55,764
2022-09-21T10:28:59,771
2022-09-21T10:31:03,788
2022-09-21T10:33:07,771
2022-09-21T10:35:11,775
2022-09-21T10:37:15,787
2022-09-21T10:39:19,785
2022-09-21T10:41:23,787
2022-09-21T10:43:27,781
2022-09-21T10:45:31,786
2022-09-21T10:47:34,794
2022-09-21T10:49:38,802
2022-09-21T10:51:42,813
2022-09-21T11:04:52,856
2022-09-21T11:15:12,832
2022-09-21T12:28:24,1029
2022-09-21T12:32:57,949
2022-09-21T12:35:01,935
2022-09-21T12:37:05,931
2022-09-21T12:39:09,939
2022-09-21T12:41:13,945
2022-09-21T12:43:17,946
2022-09-21T12:45:21,937
2022-09-21T12:47:25,913
2022-09-21T12:49:29,912
2022-09-21T12:51:33,910
2022-09-21T12:53:36,904
2022-09-21T12:55:40,901
2022-09-21T12:57:44,906
2022-09-21T12:59:48,915
2022-09-21T13:01:52,913
2022-09-21T13:03:56,910
2022-09-21T13:06:00,985
2022-09-21T13:08:04,1002
2022-09-21T13:10:08,921
2022-09-21T13:12:12,914
2022-09-21T13:14:16,907
2022-09-21T13:16:20,1066
2022-09-21T13:18:24,1072
2022-09-21T13:20:27,1064
2022-09-21T13:22:31,1074
2022-09-21T13:24:35,1070
2022-09-21T13:26:39,1057
2022-09-21T13:28:43,1026
2022-09-21T13:30:47,1029
2022-09-21T13:32:51,1037
2022-09-21T13:34:55,1016
2022-09-21T13:36:59,1008
2022-09-21T13:39:03,1008
2022-09-21T13:41:06,1002
2022-09-21T13:43:10,1018
2022-09-21T13:45:14,1004
2022-09-21T13:47:18,960
2022-09-21T13:49:22,962
2022-09-21T13:51:26,955
2022-09-21T13:53:30,950
2022-09-21T13:55:34,947
2022-09-21T13:57:38,948
2022-09-21T13:59:42,952
2022-09-21T14:01:46,967
2022-09-21T14:03:50,1016
2022-09-21T14:05:54,968
2022-09-21T14:07:57,937
2022-09-21T14:10:01,931
2022-09-21T14:12:05,917
2022-09-21T14:14:09,922
2022-09-21T14:16:13,916
2022-09-21T14:18:17,901
2022-09-21T14:20:21,900
2022-09-21T14:22:25,900
2022-09-21T14:24:29,894
2022-09-21T14:26:33,894
2022-09-21T14:28:37,892
2022-09-21T14:30:41,894
2022-09-21T14:32:45,889
2022-09-21T14:34:49,889
2022-09-21T14:36:53,883
2022-09-21T14:38:57,881
2022-09-21T14:41:01,873
2022-09-21T14:43:05,869
2022-09-21T14:45:09,870
2022-09-21T14:47:13,871
2022-09-21T14:49:17,863
2022-09-21T14:51:21,864
2022-09-21T14:53:25,865
2022-09-21T14:55:29,867
2022-09-21T14:57:33,869
2022-09-21T14:59:38,867
2022-09-21T15:01:41,859
2022-09-21T15:03:45,852
2022-09-21T15:05:49,850
2022-09-21T15:07:53,848
2022-09-21T15:09:57,846
2022-09-21T15:12:01,845
2022-09-21T15:14:05,848
2022-09-21T15:16:09,848
2022-09-21T15:18:13,843
2022-09-21T15:20:17,842
2022-09-21T15:22:21,843
2022-09-21T15:24:25,843
2022-09-21T15:26:29,840
2022-09-21T15:28:33,840
2022-09-21T15:30:37,842
2022-09-21T15:32:41,838
2022-09-21T15:34:45,835
2022-09-21T15:36:49,833
2022-09-21T15:38:53,829
2022-09-21T15:40:57,825
2022-09-21T15:43:01,822
2022-09-21T15:45:05,820
2022-09-21T15:47:09,821
2022-09-21T15:49:13,819
2022-09-21T15:51:17,815
2022-09-21T15:53:21,811
2022-09-21T15:55:25,811
2022-09-21T15:57:29,812
2022-09-21T15:59:34,809
2022-09-21T16:01:38,804
2022-09-21T16:03:42,806
2022-09-21T16:05:46,808
2022-09-21T16:07:50,803
2022-09-21T16:09:54,894
2022-09-21T16:11:58,869
2022-09-21T16:14:02,855
2022-09-21T17:28:50,974
2022-09-21T17:39:10,899
2022-09-21T17:49:30,991
2022-09-21T17:59:50,988
2022-09-21T18:10:10,913
2022-09-21T18:20:30,853
2022-09-21T18:30:50,839
2022-09-21T18:41:09,818
2022-09-21T18:51:29,804
2022-09-21T19:06:06,788
2022-09-21T19:08:10,789
2022-09-21T19:10:14,793
2022-09-21T19:12:18,793
2022-09-21T19:14:22,788
2022-09-21T19:16:26,783
2022-09-21T19:18:30,777
2022-09-21T19:52:11,704
2022-09-21T20:02:30,700
2022-09-21T20:12:49,695
2022-09-21T20:23:08,761
2022-09-21T20:45:04,755
2022-09-21T20:55:23,725
2022-09-21T21:05:43,746
2022-09-21T21:16:01,769
2022-09-21T21:26:21,774
2022-09-21T21:36:40,769
2022-09-21T21:46:59,757
2022-09-21T21:57:19,755
2022-09-21T22:07:38,762
2022-09-21T22:17:57,763
2022-09-21T22:28:16,748
2022-09-21T22:38:36,744
2022-09-21T22:48:55,753
2022-09-21T22:59:14,749
2022-09-21T23:09:33,763
2022-09-21T23:19:53,771
2022-09-21T23:30:12,766
2022-09-21T23:40:32,807
2022-09-21T23:50:52,792
